HANDLE,BLNK,LWSTPWR,TRFCCRCT,STLT,PWRFBR,UKNCM,UNKCM1,UNKCM2,CATV,CATV1,UNKCM3,UKNCM4,TELCO,TELCO1,TELCO2,TELCO3,UKN,UKN1,COMNTS,TYPE
'B28,,n 30 8,,,,,,,23 4,,,,22 2,,,,,,,JNTPL
'B44,n 26 1,tdl 27 1,,,,,,,23 1,,,,22 1,,,,,,,JNTTRANS
'B60,n 26 1,tdl 25,,,,,,,22,,,,22 10,,,,,,,JNTTRANS
'B7C,,n 30 2,,,,,,,24 1,,,,23,,,,,,,JNTPL
'BB4,sec 30 7,sec dl 30,,26,,,,,23 8,,,,22 1,,,,,,,JNTPL
'C08,,n 31 7,,,,,,,,,,,19 9,,,,,,,JNTPL
'C24,,n 29 9,,,,,,,,,,,18 3,,,,,,,JNTPL
'C40,n 31 4,tdl 30 6,pp 30 10,,,,,,,,,,19 8,,,,,,,JNTTRANS
'C5C,,n 35+,,,,,,,,,,,19 10,,,,,,,JNTPL
'C94,,n 35+,,,,,,,,,,,19 9,,,,,,,JNTPL
'CCC,,n 35+,,,,,,,,,,,19 11,,,,,,,JNTTRANS
'D04,,n 35+,,,,,,,,,,,23 1,,,,,,,JNTPL
'D20,n 26 11,tdl 26 9,,,,,,,,,,,23,,,,,,,JNTTRANS
'D3C,n 31 6,tdl 30 5,,,,,,,,,,,19 11,,,,,,,JNTTRANS
'D74,sec 24 9,sec dl 23 7,,,,,,,,,,,20 1,,,,,,,JNTPL
'D90,,n 27,,,,,,,,,,,20,,,,,,,JNTPL
'DAC,,n 28 10,,,,,,,,,,,21 2,,,,,,,JNTPL
'DE4,,n 28 8,,,,,,,,,,,20 8,,,,,,,JNTPL
'E00,,n 26 11,,,,,,,,,,,21 10,,,,,,ank e,JNTPL
'E1C,,n 25 8,,,,,,,,,,,21 2,fiber 22 1,,,,,ank e,JNTPL
'E70,,n 25 7,,,,,,,,,,,20,fiber 21,,,,,,JNTPL
'E8C,,n 25 1,,,,,,,,,,,20 11,fiber 20 1,,,,,,JNTPL
'EA8,,n 25 9,,,,,,,,,,,19 8,fiber 20 8,,,,,,JNTPL
'EE0,,n 26 2,,,,,,,,,,,20,fiber 21,,,,,,JNTPL
'EFC,n 29 9,tdl 28 7,,,,,,,,,,,19 5,fiber 20 6,,,,,,JNTTRANS
'F18,,n 25 9,,,,,,,,,,,20 3,fiber 21 6,,,,,,JNTPL
'F50,sec 29 1,sec dl 27 6,,,,,,,,,,,20 3,fiber 21 6,,,,,,JNTPL
'F88,,sec \ n 28 11,,,,,,,,,,,20 11,fiber 22,,,,,,JNTTRANS
'FC0,,n 25 6,,,,,,,,,,,17 11,fiber 19,,,,,,JNTPL
'FDC,,n 23 1,,,,,,,,,,,19 4,fiber 20 5,,,,,,JNTPL
'1014,,n 26,,,,,,,,,,,20 7,fiber 21 6,,,,,,JNTPL
'1030,,n 26,,,,,,,,,,,20 5,fiber 21 5,,,,,ank w,JNTPL
'1068,sec \ n 25 2,sec dl 24 2,,,,,,,,,,,20 3,fiber 21 4,,,,,ank e,JNTPL
'10A0,,n 28 1,,,,,,,,,,,18 10,fiber 20 3,,,,,ank e,JNTTRANS
'10F4,,n 30 8,,,,,,,,,,,19 1,fiber 20 4,,,,,,JNTPL
'1110,,n 25 9,,,,,,,,,,,19 1,fiber 20 2,,,,,,JNTPL
'1164,n 24 5,tdl 23 3,,,,,,,,,,,18 11,fiber 20 3,,,,,,JNTTRANS
'1180,,n 26 2,,,,,,,,,,,19 2,fiber 20 3,,,,,,JNTPL
'11B8,,n 25 6,,,,,,,,,,,19,fiber 21 4,,,,,ank n,JNTPL
'11D4,,n 26 3,,,,,,,21 3,,,,20 3,,,,,,ank s,JNTPL
'1260,,sec 35+,,,,,,,19 3,,,,18 \ 15 8 - arm h n l bolts,,,,,,,JNTPL
